dataset,operation,capsule_s,conventional_tool,conventional_s,speedup,notes
SRR2584863_ecoli,export,0.465,megahit,135.5,291x,PASS spec >=40x
SRR2584863_ecoli,export,0.465,spades,258.15,555x,spec-exact baseline; peak RAM spades 5.20GB; PASS spec >=40x
SRR2584863_ecoli,coverage,0.651,bwa+samtools+mosdepth,NA,NA,timing pending
SRR2584863_ecoli,query,0.530,full_decompress,1.74,3.3x,returns 11103 reads vs 695MB fastq
HG002_r2,export,0.032,megahit,8.14,254x,
HG002_r2,coverage,0.040,bwa+samtools+mosdepth,1.33,33x,coverage optimised: no pg rebuild
HG002_r2,query,0.039,NA,NA,NA,7044 reads in 0-100000
HG002_r5,export,0.028,megahit,8.78,314x,
HG002_r5,coverage,0.049,bwa+samtools+mosdepth,1.23,25x,
HG005_r3,export,0.045,megahit,12.31,274x,
HG005_r3,coverage,0.064,bwa+samtools+mosdepth,1.46,23x,
